_ga;GA1.2.728270500.1573718514;.guru99.com;/;Sat Nov 13 13:31:55 IST 2021;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Thu Nov 14 13:32:54 IST 2019;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.1055546217.1573718514;.guru99.com;/;Fri Nov 15 13:31:55 IST 2019;false
